prompt,classes,answer_index
"Q: What is 9*3
A: 27
B: 36
Answer (A or B): A

Q: What is 10*9
A: 90
B: 117
Answer (B or A):","[' A', ' B']",0
"Q: What is 6*5
A: 30
B: 45
Answer (A or B): A

Q: What is 5*4
A: 20
B: 36
Answer (B or A):","[' A', ' B']",0
"Q: What is 7*4
A: 28
B: 44
Answer (A or B): A

Q: What is 4*8
A: 32
B: 56
Answer (B or A):","[' A', ' B']",0
"Q: What is 9*8
A: 72
B: 104
Answer (A or B): A

Q: What is 6*10
A: 60
B: 90
Answer (B or A):","[' A', ' B']",0
"Q: What is 3*3
A: 15
B: 9
Answer (A or B): B

Q: What is 9*3
A: 39
B: 27
Answer (B or A):","[' A', ' B']",1
"Q: What is 6*8
A: 80
B: 48
Answer (A or B): B

Q: What is 4*6
A: 48
B: 24
Answer (B or A):","[' A', ' B']",1
"Q: What is 10*4
A: 48
B: 40
Answer (A or B): B

Q: What is 8*10
A: 100
B: 80
Answer (B or A):","[' A', ' B']",1
"Q: What is 4*8
A: 64
B: 32
Answer (A or B): B

Q: What is 6*7
A: 63
B: 42
Answer (B or A):","[' A', ' B']",1
"Q: What is 8*6
A: 66
B: 48
Answer (A or B): B

Q: What is 5*6
A: 42
B: 30
Answer (B or A):","[' A', ' B']",1
"Q: What is 10*4
A: 40
B: 48
Answer (A or B): A

Q: What is 5*5
A: 25
B: 35
Answer (B or A):","[' A', ' B']",0
"Q: What is 7*6
A: 54
B: 42
Answer (A or B): B

Q: What is 9*7
A: 84
B: 63
Answer (B or A):","[' A', ' B']",1
"Q: What is 4*8
A: 32
B: 64
Answer (A or B): A

Q: What is 4*10
A: 40
B: 80
Answer (B or A):","[' A', ' B']",0
"Q: What is 6*3
A: 30
B: 18
Answer (A or B): B

Q: What is 7*4
A: 44
B: 28
Answer (B or A):","[' A', ' B']",1
"Q: What is 8*9
A: 90
B: 72
Answer (A or B): B

Q: What is 4*5
A: 40
B: 20
Answer (B or A):","[' A', ' B']",1
"Q: What is 3*4
A: 28
B: 12
Answer (A or B): B

Q: What is 6*4
A: 36
B: 24
Answer (B or A):","[' A', ' B']",1
"Q: What is 3*3
A: 15
B: 9
Answer (A or B): B

Q: What is 5*4
A: 32
B: 20
Answer (B or A):","[' A', ' B']",1
"Q: What is 3*9
A: 63
B: 27
Answer (A or B): B

Q: What is 4*7
A: 42
B: 28
Answer (B or A):","[' A', ' B']",1
"Q: What is 8*9
A: 72
B: 90
Answer (A or B): A

Q: What is 3*10
A: 30
B: 50
Answer (B or A):","[' A', ' B']",0
"Q: What is 6*7
A: 42
B: 63
Answer (A or B): A

Q: What is 10*5
A: 50
B: 70
Answer (B or A):","[' A', ' B']",0
"Q: What is 5*5
A: 25
B: 40
Answer (A or B): A

Q: What is 7*4
A: 28
B: 44
Answer (B or A):","[' A', ' B']",0
"Q: What is 3*10
A: 70
B: 30
Answer (A or B): B

Q: What is 9*7
A: 91
B: 63
Answer (B or A):","[' A', ' B']",1
"Q: What is 5*3
A: 24
B: 15
Answer (A or B): B

Q: What is 4*8
A: 64
B: 32
Answer (B or A):","[' A', ' B']",1
"Q: What is 5*6
A: 48
B: 30
Answer (A or B): B

Q: What is 8*7
A: 84
B: 56
Answer (B or A):","[' A', ' B']",1
"Q: What is 7*9
A: 63
B: 99
Answer (A or B): A

Q: What is 9*4
A: 36
B: 44
Answer (B or A):","[' A', ' B']",0
"Q: What is 5*6
A: 30
B: 42
Answer (A or B): A

Q: What is 10*9
A: 90
B: 126
Answer (B or A):","[' A', ' B']",0
"Q: What is 3*9
A: 63
B: 27
Answer (A or B): B

Q: What is 9*3
A: 33
B: 27
Answer (B or A):","[' A', ' B']",1
"Q: What is 5*10
A: 90
B: 50
Answer (A or B): B

Q: What is 10*3
A: 36
B: 30
Answer (B or A):","[' A', ' B']",1
"Q: What is 10*3
A: 39
B: 30
Answer (A or B): B

Q: What is 6*4
A: 40
B: 24
Answer (B or A):","[' A', ' B']",1
"Q: What is 9*9
A: 81
B: 108
Answer (A or B): A

Q: What is 3*6
A: 18
B: 30
Answer (B or A):","[' A', ' B']",0
"Q: What is 4*6
A: 24
B: 36
Answer (A or B): A

Q: What is 6*7
A: 42
B: 63
Answer (B or A):","[' A', ' B']",0
"Q: What is 4*10
A: 40
B: 70
Answer (A or B): A

Q: What is 4*3
A: 12
B: 21
Answer (B or A):","[' A', ' B']",0
"Q: What is 7*5
A: 55
B: 35
Answer (A or B): B

Q: What is 8*4
A: 40
B: 32
Answer (B or A):","[' A', ' B']",1
"Q: What is 3*3
A: 9
B: 15
Answer (A or B): A

Q: What is 7*8
A: 56
B: 80
Answer (B or A):","[' A', ' B']",0
"Q: What is 10*10
A: 140
B: 100
Answer (A or B): B

Q: What is 9*8
A: 104
B: 72
Answer (B or A):","[' A', ' B']",1
"Q: What is 7*3
A: 27
B: 21
Answer (A or B): B

Q: What is 5*7
A: 56
B: 35
Answer (B or A):","[' A', ' B']",1
"Q: What is 4*8
A: 64
B: 32
Answer (A or B): B

Q: What is 3*3
A: 18
B: 9
Answer (B or A):","[' A', ' B']",1
"Q: What is 8*9
A: 108
B: 72
Answer (A or B): B

Q: What is 5*7
A: 49
B: 35
Answer (B or A):","[' A', ' B']",1
"Q: What is 3*7
A: 21
B: 35
Answer (A or B): A

Q: What is 4*7
A: 28
B: 49
Answer (B or A):","[' A', ' B']",0
"Q: What is 9*4
A: 36
B: 44
Answer (A or B): A

Q: What is 10*10
A: 100
B: 130
Answer (B or A):","[' A', ' B']",0
"Q: What is 4*10
A: 60
B: 40
Answer (A or B): B

Q: What is 10*9
A: 108
B: 90
Answer (B or A):","[' A', ' B']",1
"Q: What is 5*9
A: 81
B: 45
Answer (A or B): B

Q: What is 4*4
A: 24
B: 16
Answer (B or A):","[' A', ' B']",1
"Q: What is 3*9
A: 27
B: 45
Answer (A or B): A

Q: What is 4*9
A: 36
B: 72
Answer (B or A):","[' A', ' B']",0
"Q: What is 10*6
A: 60
B: 78
Answer (A or B): A

Q: What is 4*8
A: 32
B: 48
Answer (B or A):","[' A', ' B']",0
"Q: What is 5*9
A: 45
B: 63
Answer (A or B): A

Q: What is 8*4
A: 32
B: 40
Answer (B or A):","[' A', ' B']",0
"Q: What is 10*6
A: 72
B: 60
Answer (A or B): B

Q: What is 10*9
A: 117
B: 90
Answer (B or A):","[' A', ' B']",1
"Q: What is 6*5
A: 40
B: 30
Answer (A or B): B

Q: What is 6*10
A: 90
B: 60
Answer (B or A):","[' A', ' B']",1
"Q: What is 4*10
A: 60
B: 40
Answer (A or B): B

Q: What is 9*9
A: 117
B: 81
Answer (B or A):","[' A', ' B']",1
"Q: What is 10*10
A: 140
B: 100
Answer (A or B): B

Q: What is 6*6
A: 48
B: 36
Answer (B or A):","[' A', ' B']",1
"Q: What is 8*3
A: 24
B: 36
Answer (A or B): A

Q: What is 5*7
A: 35
B: 63
Answer (B or A):","[' A', ' B']",0
"Q: What is 7*10
A: 90
B: 70
Answer (A or B): B

Q: What is 4*3
A: 18
B: 12
Answer (B or A):","[' A', ' B']",1
"Q: What is 7*3
A: 21
B: 30
Answer (A or B): A

Q: What is 8*5
A: 40
B: 50
Answer (B or A):","[' A', ' B']",0
